id_meetlocatie,versie_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,incomplete_waarnemingen_intensiteit,incomplete_waarnemingen_snelheid,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,gebruikte_rekenmethode_intensiteit,gebruikte_rekenmethode_snelheid,spreiding_intensiteit,spreiding_snelheid,kwaliteitsindicator_intensiteit,kwaliteitsindicator_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,standaard_rekenmethode,gebruikte_meetapparatuur,naam_meetlocatie_mst,totaal_aantal_rijstroken,rijrichting,nauwkeurigheid,meetperiode,rijstrook_rijbaan,voertuigcategorie,start_locatie_latitude,start_locatie_longitude,landcode,versie_vild,subversie_vild,richting_in_vild,locatiecode_vild,afstand_tot_vild_locatie,wegnummer_vild,wegnaam_vild,1e_naam_vild,2e_naam_vild,specifieke_baan,naam_meetlocatie,voorganger,opvolger,locatie_latitude_openlr,locatie_longitude_openlr,positie_tov_weg,positie_tov_rijrichting,afstand_vanaf_het_referentiepunt,wegclassificatie_1,wegclassificatie_2,hoek_graden_van_ref_punt_naar_exacte_loc,laagste_wegclassificatie,afstand_tussen_eerste_en_laatste_punt_ref_lijn,starttijd_leveringsperiode,gecalculeerde_starttijd_leveringsperiode,type_referentiewaarde,referentiewaarde_gem_intensiteit,referentiewaarde_gem_snelheid
RWS01_MONIBAS_0131hrr0158ra,1,F5A,2019-10-15 22:45:00,2019-10-15 23:00:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,912,94.07,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F1A,2019-10-15 23:00:00,2019-10-15 23:15:00,0.0,0.0,0.0,0.0,15.0,12.0,,,,,,,0,0,96,124.16,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F3A,2019-10-15 23:00:00,2019-10-15 23:15:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,520,106.18,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F5A,2019-10-15 23:00:00,2019-10-15 23:15:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,676,92.98,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F1A,2019-10-15 23:15:00,2019-10-15 23:30:00,0.0,0.0,0.0,0.0,15.0,9.0,,,,,,,0,0,68,117.82,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F3A,2019-10-15 23:15:00,2019-10-15 23:30:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,424,106.57,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F5A,2019-10-15 23:15:00,2019-10-15 23:30:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,640,94.65,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F1A,2019-10-15 23:30:00,2019-10-15 23:45:00,0.0,0.0,0.0,0.0,15.0,7.0,,,,,,,0,0,44,122.24,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F3A,2019-10-15 23:30:00,2019-10-15 23:45:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,340,108.8,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F5A,2019-10-15 23:30:00,2019-10-15 23:45:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,608,95.68,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F1A,2019-10-15 23:45:00,2019-10-16 00:00:00,0.0,0.0,0.0,0.0,15.0,7.0,,,,,,,0,0,28,126.73,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F3A,2019-10-15 23:45:00,2019-10-16 00:00:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,268,105.89,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0158ra,1,F5A,2019-10-15 23:45:00,2019-10-16 00:00:00,0.0,0.0,0.0,0.0,15.0,15.0,,,,,,,0,0,568,95.37,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0158ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.9572,4.41056,8,5.18,A,negative,7407,5310,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 15.8,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0162ra,1,F1A,2019-10-15 00:00:00,2019-10-15 00:15:00,0.0,0.0,0.0,0.0,15.0,0.0,,,,,,,0,0,0,-1.0,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0162ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.954,4.41306,8,5.18,A,negative,7407,5700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 16.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0162ra,1,F3A,2019-10-15 00:00:00,2019-10-15 00:15:00,0.0,0.0,0.0,0.0,15.0,13.0,,,,,,,0,0,176,97.22,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0162ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.954,4.41306,8,5.18,A,negative,7407,5700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 16.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0162ra,1,F5A,2019-10-15 00:00:00,2019-10-15 00:15:00,0.0,0.0,0.0,0.0,15.0,14.0,,,,,,,0,0,348,86.64,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0162ra,3,southBound,100.0,60.0,lane3,anyVehicle,51.954,4.41306,8,5.18,A,negative,7407,5700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 16.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0162ra,1,F1A,2019-10-15 00:15:00,2019-10-15 00:30:00,0.0,0.0,0.0,0.0,15.0,4.0,,,,,,,0,0,16,115.39,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0162ra,3,southBound,100.0,60.0,lane1,anyVehicle,51.954,4.41306,8,5.18,A,negative,7407,5700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 16.2,,,,,,,,,,,,,,,,,
RWS01_MONIBAS_0131hrr0162ra,1,F3A,2019-10-15 00:15:00,2019-10-15 00:30:00,0.0,0.0,0.0,0.0,15.0,11.0,,,,,,,0,0,148,94.12,-1.0,arithmeticAverageOfSamplesInATimePeriod,lus,0131hrr0162ra,3,southBound,100.0,60.0,lane2,anyVehicle,51.954,4.41306,8,5.18,A,negative,7407,5700,A13,,Delft-Zuid,N470,mainCarriageway,A13 southBound naar Rotterdam na afrit 10 ri afrit 11 thv hmp 16.2,,,,,,,,,,,,,,,,,
