start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijrichting;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-06-19 00:13:00;2019-06-19 00:14:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:13:00;2019-06-19 00:14:00;1;60;130;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:13:00;2019-06-19 00:14:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:13:00;2019-06-19 00:14:00;1;360;115;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:13:00;2019-06-19 00:14:00;1;300;95;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:13:00;2019-06-19 00:14:00;1;60;82;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:14:00;2019-06-19 00:15:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:14:00;2019-06-19 00:15:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:14:00;2019-06-19 00:15:00;1;60;129;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:14:00;2019-06-19 00:15:00;1;360;125;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:14:00;2019-06-19 00:15:00;1;120;103;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:14:00;2019-06-19 00:15:00;1;180;80;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:15:00;2019-06-19 00:16:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:15:00;2019-06-19 00:16:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:15:00;2019-06-19 00:16:00;1;240;120;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:15:00;2019-06-19 00:16:00;1;360;124;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:15:00;2019-06-19 00:16:00;1;360;101;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:15:00;2019-06-19 00:16:00;1;120;98;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
